product_id,name,description,category_id,price,stock_quantity,image_url,created_at,updated_at
1,Сухой корм для собак,Полнорационный корм для взрослых собак,1,1500,50,https://example.com/dog_food.jpg,2025-01-15,2025-02-01
2,Игрушка для кошек "Мышка",Мягкая игрушка для игр,2,300,200,https://example.com/cat_toy.jpg,2025-01-16,2025-02-01
3,Лакомство для попугаев,Зерновая смесь для птиц,3,500,100,https://example.com/bird_treats.jpg,2025-01-17,2025-02-01
4,Когтеточка для кошек,Вертикальная когтеточка 50 см,4,1200,30,https://example.com/scratching_post.jpg,2025-01-18,2025-02-01
5,Гель для чистки ушей собак,Средство для ухода за ушами,5,750,40,https://example.com/dog_ear_gel.jpg,2025-01-19,2025-02-01
6,Аквариум 50 литров,Прямоугольный стеклянный аквариум,6,6000,10,https://example.com/aquarium.jpg,2025-01-20,2025-02-01
7,Наполнитель для кошачьего туалета,Комкующийся наполнитель 5 кг,7,800,60,https://example.com/cat_litter.jpg,2025-01-21,2025-02-01
8,Шампунь для собак с алоэ,Гипоаллергенный шампунь,5,550,35,https://example.com/dog_shampoo.jpg,2025-01-22,2025-02-01
9,Клетка для хомяков,Металлическая клетка 30x30x50 см,8,2500,20,https://example.com/hamster_cage.jpg,2025-01-23,2025-02-01
10,Поводок для собак 3м,Автоматический поводок с фиксатором,9,1300,25,https://example.com/dog_leash.jpg,2025-01-24,2025-02-01